,n_estimators,min_samples_split,min_samples_leaf,sample_ratio,fscore_mean,fscore_std,fscore_threshold_mean,fscore_threshold_std,threshold_mean,threshold_std
0,100,2,1,1,0.6627994104307229,0.010578118691136893,0.7030268306968195,0.0068297174418623435,0.4427688442211055,0.02245057195499789
1,100,2,2,1,0.678992243941965,0.010008124203271662,0.7040415093250946,0.0046840011273698474,0.4437728643216081,0.014807169168390815
2,100,2,5,1,0.6863839483106757,0.007181173027234623,0.697863807859217,0.0014720420892954703,0.47790954773869354,0.010040201005025146
3,100,5,1,1,0.6729916973644035,0.01784264694145323,0.6996758660080439,0.013209629033051564,0.4086321608040201,0.03813294248405652
4,100,5,2,1,0.6738891083237818,0.012334807893062504,0.7065352379962591,0.010847471166470285,0.4317246231155779,0.02051495871855361
5,100,5,5,1,0.6768316644042411,0.011599265224982967,0.7020822695146971,0.005334836650958717,0.4668653266331659,0.01823893087684459
6,100,10,1,1,0.6756316588274355,0.015982326376303136,0.7032071519030574,0.013680115568261557,0.4317246231155779,0.0222815564624633
7,100,10,2,1,0.6815633502211407,0.011755690561649067,0.7040888032780611,0.008597513668808747,0.4568251256281407,0.029571758389041455
8,100,10,5,1,0.6751426821589812,0.0194557587209746,0.6928530271613732,0.009389051678110752,0.4698773869346734,0.022618324514055772
9,200,2,1,1,0.6587386465604995,0.010074247574770233,0.7033367807585684,0.008508680736001943,0.41967638190954776,0.05272300654176084
10,200,2,2,1,0.6780815474236999,0.0159089737093064,0.7087063129354639,0.01036303693736184,0.45381306532663324,0.021416480682104343
11,200,2,5,1,0.6780147951211966,0.017977458573500353,0.7020430284754932,0.007100583570280164,0.47088140703517595,0.014462769276981967
12,200,5,1,1,0.6699269093646812,0.020948156318210533,0.7065139512479002,0.006876921477350617,0.40260804020100505,0.02069840462307559
13,200,5,2,1,0.672866206908442,0.011181354259286581,0.703779808562168,0.010244737484168905,0.4257005025125628,0.023970651356637212
14,200,5,5,1,0.6741587904164833,0.009045270829508746,0.7024456251426411,0.009114930978335866,0.45381306532663324,0.015226718730869334
15,200,10,1,1,0.6757558502422667,0.017061856724059365,0.7089588176718541,0.010441149719994483,0.42871256281407033,0.03299546743402981
16,200,10,2,1,0.6780537723905906,0.009089101550596028,0.7068712253542497,0.004614403143183266,0.43875276381909556,0.009656356119401839
17,200,10,5,1,0.684472950425897,0.013718973816157881,0.7038810962895797,0.011400696511334941,0.45682512562814076,0.026893873649734466
18,500,2,1,1,0.6694408136342712,0.010167101624713947,0.708482326310724,0.009959444467541335,0.4226884422110553,0.021000587098179445
19,500,2,2,1,0.6853999409344065,0.004854282940224151,0.7086374652144746,0.008115853090848408,0.4487929648241207,0.021120249531652917
20,500,2,5,1,0.6897596081729416,0.007147193681901214,0.7047995845549285,0.003751379523807986,0.47489748743718596,0.010409901965816294
21,500,5,1,1,0.6777795288220623,0.0052971250958667735,0.7085226358816771,0.00726795585385029,0.4226884422110553,0.03367585793249683
22,500,5,2,1,0.6826428907037724,0.011603552057048796,0.7051045918898938,0.006693301458719519,0.45582110552763827,0.011557139265113677
23,500,5,5,1,0.6865872303848273,0.013253725944362775,0.7014350915509142,0.007516508759334318,0.47088140703517595,0.017960457563998316
24,500,10,1,1,0.6755956204775773,0.014370600482005877,0.709188455117295,0.003955239145064475,0.42068040201005025,0.014462769276981972
25,500,10,2,1,0.6881797419306512,0.007451392498644408,0.7084826577789232,0.010290278080865602,0.4447768844221106,0.027173540169088708
26,500,10,5,1,0.682492123899235,0.011679909045403112,0.7015128566084303,0.007604124506005292,0.46084120603015083,0.014892024700720747
27,1000,2,1,1,0.6767147643945306,0.010794813300552621,0.7110272405374746,0.009490982868397769,0.4407608040201005,0.033412908002012943
28,1000,2,2,1,0.6777125974477556,0.011213210953921113,0.7095722802946988,0.009959824209911674,0.4417648241206031,0.024180005998419102
29,1000,2,5,1,0.6860899731808728,0.013240834235192286,0.702651062389827,0.0054432747475112835,0.47891356783919603,0.01437538014292773
30,1000,5,1,1,0.6778353514870162,0.0070153544183314,0.7133405511157116,0.009810101420816094,0.4186723618090452,0.025449483545288327
31,1000,5,2,1,0.6819273624998322,0.004294932881079926,0.7098830836219631,0.006416124154228901,0.4417648241206031,0.009656356119401839
32,1000,5,5,1,0.6899726900887908,0.013025352608235641,0.701109981830762,0.007814848699715991,0.4688733668341709,0.03393677052738576
33,1000,10,1,1,0.6753469923081783,0.007879479115778977,0.7066012348795346,0.008640119090006941,0.4297165829145729,0.04238939095628535
34,1000,10,2,1,0.6783761127010747,0.00758355786119133,0.7113765725141911,0.008076857655653791,0.43774874371859307,0.01878349612757371
35,1000,10,5,1,0.6862999934816518,0.015602582926911449,0.7001701582449453,0.00742886237102933,0.4759015075376885,0.013563564653286635
